"Date","Price (Close)"
"2019-05-04","5797.107467031517"
"2019-05-03","5703.261299526223"
"2019-05-02","5417.94525618263"
"2019-05-01","5334.481916154462"
"2019-04-30","5292.834688987531"
"2019-04-29","5179.1158035967"
"2019-04-28","5178.9218185018035"
"2019-04-27","5181.980472601031"
"2019-04-26","5190.376029438121"
"2019-04-25","5128.097341068226"
"2019-04-24","5438.360919571631"
"2019-04-23","5525.388380097703"
"2019-04-22","5382.83126651738"
"2019-04-21","5284.703577339479"
"2019-04-20","5309.616438955039"
"2019-04-19","5279.526904983157"
"2019-04-18","5279.188744416737"
"2019-04-17","5219.930321483653"
"2019-04-16","5196.800119834735"
"2019-04-15","5030.128235541653"
"2019-04-14","5153.360750944948"
"2019-04-13","5064.5423154641585"
"2019-04-12","5067.657280525941"
"2019-04-11","5039.807169257836"
"2019-04-10","5318.025149660458"
"2019-04-09","5192.593865436871"
"2019-04-08","5277.381378416865"
"2019-04-07","5191.4904985622225"
"2019-04-06","5049.10313184222"
"2019-04-05","5037.89939775791"
"2019-04-04","4909.32581957757"
"2019-04-03","4970.792110673725"
"2019-04-02","4900.457643589015"
"2019-04-01","4139.8447044262575"
"2019-03-31","4095.7991433872453"
"2019-03-30","4099.328808344265"
"2019-03-29","4095.7448114222493"
"2019-03-28","4015.490145888307"
"2019-03-27","4029.2256824051033"
"2019-03-26","3928.1883617316435"
"2019-03-25","3914.0693623338107"
"2019-03-24","3975.6036919345906"
"2019-03-23","3991.1148876860466"
"2019-03-22","3983.050787090408"
"2019-03-21","3978.9292065409936"
"2019-03-20","4037.5190963682408"
"2019-03-19","4006.8362846102177"
"2019-03-18","3974.975142941074"
"2019-03-17","3970.1498075056984"
"2019-03-16","4001.956261457576"
"2019-03-15","3912.028711012851"
"2019-03-14","3862.0419611513703"
"2019-03-13","3856.333769335177"
"2019-03-12","3868.4559467530125"
"2019-03-11","3856.0405142322065"
"2019-03-10","3902.385147921069"
"2019-03-09","3925.4042034944396"
"2019-03-08","3846.3674344601986"
"2019-03-07","3860.3811027057372"
"2019-03-06","3853.260036714813"
"2019-03-05","3852.50573927194"
"2019-03-04","3707.5243237030913"
"2019-03-03","3789.1999447903663"
"2019-03-02","3815.093325412696"
"2019-03-01","3811.221948303468"
"2019-02-28","3804.8342403487486"
"2019-02-27","3804.9193053604854"
